             acronym                                                                            expansion        language           type                                             doc_id
313              ВРУ                                                            Временно руско управление              bg   in_expansion                          Временно_руско_управление
314               г.                                                                               година              bg  out_expansion                          Временно_руско_управление
315             с.г.                                                                        същата година              bg  out_expansion                          Временно_руско_управление
316              ВРУ                                                            Временно руско управление              bg   in_expansion                          Временно_руско_управление
317               г.                                                                               година              bg  out_expansion                          Временно_руско_управление
318              IBM                                                      International Business Machines              en  out_expansion                               Гъвкав_магнитен_диск
319               KB                                                                            kilobytes              en  out_expansion                               Гъвкав_магнитен_диск
320               MB                                                                            megabytes              en  out_expansion                               Гъвкав_магнитен_диск
321              TPI                                                                      tracks-per-inch              en   in_expansion                               Гъвкав_магнитен_диск
322            boPET                                        biaxially-oriented polyethylene terephthalate              en   in_expansion                               Гъвкав_магнитен_диск
323               mm                                                                           millimetre              en  out_expansion                               Гъвкав_магнитен_диск
324              ФДУ                                                             флопи-дисково устройство              bg   in_expansion                               Гъвкав_магнитен_диск
325               г.                                                                               година              bg  out_expansion                               Гъвкав_магнитен_диск
326              IBM                                                      International Business Machines              en  out_expansion                               Гъвкав_магнитен_диск
327               KB                                                                             Kilobyte              en  out_expansion                               Гъвкав_магнитен_диск
328               MB                                                                             Megabyte              en  out_expansion                               Гъвкав_магнитен_диск
329              TPI                                                                      tracks-per-inch              en   in_expansion                               Гъвкав_магнитен_диск
330            boPET                                        biaxially-oriented polyethylene terephthalate              en  out_expansion                               Гъвкав_магнитен_диск
331               mm                                                                           millimeter              en  out_expansion                               Гъвкав_магнитен_диск
332              ФДУ                                                             флопи-дисково устройство              bg   in_expansion                               Гъвкав_магнитен_диск
333               г.                                                                               година              bg  out_expansion                               Гъвкав_магнитен_диск
334              САЩ                                                         Съединените Американски Щати              bg  out_expansion                                          Дисниленд
335              г-н                                                                             господин              bg  out_expansion                                          Дисниленд
336               г.                                                                               година  other language  out_expansion                                          Дисниленд
337             хил.                                                                               хиляди              bg  out_expansion                                          Дисниленд
338               г.                                                                              година               bg  out_expansion                                          Дисниленд
339             хил.                                                                               хиляди              en  out_expansion                                          Дисниленд
340             FTDI                                              Future Technology Devices International              en  out_expansion                                            Драйвер
341             UART                                          Universal asynchronous receiver-transmitter              en  out_expansion                                            Драйвер
342              USB                                                                 Universal Serial Bus              en  out_expansion                                            Драйвер
343              WDF                                                            Windows Driver Foundation              en   in_expansion                                            Драйвер
344             FTDI                                              Future Technology Devices International              en  out_expansion                                            Драйвер
345              I/O                                                                         Input/Оutput              en  out_expansion                                            Драйвер
346               OS                                                                     Operating system              en  out_expansion                                            Драйвер
347             UART                                          Universal asynchronous receiver-transmitter              en  out_expansion                                            Драйвер
348              USB                                                                 Universal Serial Bus              en  out_expansion                                            Драйвер
349              WDF                                                            Windows Driver Foundation  other language   in_expansion                                            Драйвер
350               г.                                                                               година              bg  out_expansion                                          Дуги_оток
351               км                                                                            километър              bg  out_expansion                                          Дуги_оток
352              км²                                                                  квадратен километър              bg  out_expansion                                          Дуги_оток
353                м                                                                                метър              bg  out_expansion                                          Дуги_оток
354          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                          Дуги_оток
355               г.                                                                               година              bg  out_expansion                                          Дуги_оток
356               км                                                                            километър              bg  out_expansion                                          Дуги_оток
357              км²                                                                  квадратен километър              bg  out_expansion                                          Дуги_оток
358                м                                                                                метър              bg  out_expansion                                          Дуги_оток
359          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                          Дуги_оток
360               ДВ                                                                     Държавен вестник              bg   in_expansion                                   Държавен_вестник
361               г.                                                                               година              bg  out_expansion                                   Държавен_вестник
362              др.                                                                                други              bg  out_expansion                                   Държавен_вестник
363             млн.                                                                              милиона              bg  out_expansion                                   Държавен_вестник
364               ДВ                                                                     Държавен вестник              bg   in_expansion                                   Държавен_вестник
365               г.                                                                               година              bg  out_expansion                                   Държавен_вестник
366              др.                                                                                други              bg  out_expansion                                   Държавен_вестник
367             млн.                                                                              милиона              bg  out_expansion                                   Държавен_вестник
368             БЗНС                                                    Български земеделски народен съюз              bg  out_expansion       Държавен_съвет_на_Народна_република_България
369              БКП                                                      Българска комунистическа партия              bg  out_expansion       Държавен_съвет_на_Народна_република_България
370             НРБ                                                            Народна Република България              bg  out_expansion       Държавен_съвет_на_Народна_република_България
371               НС                                                                     Народно Събрание              bg  out_expansion       Държавен_съвет_на_Народна_република_България
372              ЦК                                                                    Централния комитет              bg  out_expansion       Държавен_съвет_на_Народна_република_България
373               г.                                                                               година              bg  out_expansion       Държавен_съвет_на_Народна_република_България
374              чл.                                                                                 член              bg  out_expansion       Държавен_съвет_на_Народна_република_България
375             БЗНС                                                    Български земеделски народен съюз              bg  out_expansion       Държавен_съвет_на_Народна_република_България
376              БКП                                                      Българска комунистическа партия              bg  out_expansion       Държавен_съвет_на_Народна_република_България
377              НРБ                                                           Народна Република България              bg   in_expansion       Държавен_съвет_на_Народна_република_България
378               НС                                                                     Народно събрание              bg  out_expansion       Държавен_съвет_на_Народна_република_България
379               ЦК                                                                    Централен комитет              bg  out_expansion       Държавен_съвет_на_Народна_република_България
380             вкл.                                                                          включително              bg  out_expansion       Държавен_съвет_на_Народна_република_България
381               г.                                                                               година              bg  out_expansion       Държавен_съвет_на_Народна_република_България
382             зам.                                                                            заместник              bg  out_expansion       Държавен_съвет_на_Народна_република_България
383              чл.                                                                                 член              bg  out_expansion       Държавен_съвет_на_Народна_република_България
384              ЕНМ                                                           единния надзорен механизъм              bg   in_expansion                         Европейска_централна_банка
385              ЕПИ                                                         Европейския паричен институт              bg   in_expansion                         Европейска_централна_банка
386               ЕС                                                                     Европейския съюз              bg   in_expansion                         Европейска_централна_банка
387             ЕСЦБ                                            Европейската система на централните банки              bg   in_expansion                         Европейска_централна_банка
388            ЕФФС                                              Европейския фонд за финансова стабилност              bg   in_expansion                         Европейска_централна_банка
389              ЕЦБ                                                         Европейската централна банка              bg   in_expansion                         Европейска_централна_банка
390              НКО                                                      националните компетентни органи              bg   in_expansion                         Европейска_централна_банка
391              НЦБ                                                         националните централни банки              bg   in_expansion                         Европейска_централна_банка
392               г.                                                                               година              bg  out_expansion                         Европейска_централна_банка
393              ЕНМ                                                           единния надзорен механизъм              bg   in_expansion                         Европейска_централна_банка
394              ЕПИ                                                         Европейския паричен институт              bg   in_expansion                         Европейска_централна_банка
395               ЕС                                                                     Европейския съюз              bg   in_expansion                         Европейска_централна_банка
396             ЕСЦБ                                            Европейската система на централните банки              bg   in_expansion                         Европейска_централна_банка
397             ЕФФС                                             Европейския фонд за финансова стабилност              bg  out_expansion                         Европейска_централна_банка
398              ЕЦБ                                                         Европейската централна банка              bg   in_expansion                         Европейска_централна_банка
399              НКО                                                      националните компетентни органи              bg   in_expansion                         Европейска_централна_банка
400              НЦБ                                                         националните централни банки              bg   in_expansion                         Европейска_централна_банка
401               г.                                                                               година              bg  out_expansion                         Европейска_централна_банка
402             т.н.                                                                         така нататък              bg  out_expansion                         Европейска_централна_банка
403               г.                                                                               година              bg  out_expansion                                    Железният_човек
404               г.                                                                               година              bg  out_expansion                                    Железният_човек
405             БЗНС                                                   Българския земеделски народен съюз              bg   in_expansion           Закон_за_трудовата_поземлена_собственост
406             ЗТПС                                             Закон за трудовата поземлена собственост              bg  out_expansion           Закон_за_трудовата_поземлена_собственост
407             ТКЗС                                           Трудово-кооперативни земеделски стопанства              bg   in_expansion           Закон_за_трудовата_поземлена_собственост
408             БЗНС                                                   Българския земеделски народен съюз              bg   in_expansion           Закон_за_трудовата_поземлена_собственост
409             ЗТПС                                             Закон за трудовата поземлена собственост              bg  out_expansion           Закон_за_трудовата_поземлена_собственост
410             ТКЗС                                           Трудово-кооперативни земеделски стопанства              bg   in_expansion           Закон_за_трудовата_поземлена_собственост
411             HFPA                                                  Hollywood Foreign Press Association              en  out_expansion                                      Златен_глобус
412              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                      Златен_глобус
413             HFPA                                                  Hollywood Foreign Press Association              en  out_expansion                                      Златен_глобус
414              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                      Златен_глобус
415              BBC                                                     British Broadcasting Corporation              en  out_expansion                                       Иван_Славков
416            АЕНОК                                       Асамблеята на националните олимпийски комитети              bg   in_expansion                                       Иван_Славков
417              БОК                                                        Българския олимпийски комитет              bg   in_expansion                                       Иван_Славков
418              БФС                                                             Българския футболен съюз              bg   in_expansion                                       Иван_Славков
419             ВМЕИ                                              Висш машинно-електротехнически институт              bg  out_expansion                                       Иван_Славков
420               ДС                                                                   Държавна сигурност              bg  out_expansion                                       Иван_Славков
421              МОК                                                     Международния олимпийски комитет              bg   in_expansion                                       Иван_Славков
422              ПФК                                                          Професионален футболен клуб              bg  out_expansion                                       Иван_Славков
423            ТАБСО                                     Транспортно-авиационно българо-съветско общество              bg  out_expansion                                       Иван_Славков
424             ФИФА                                                    Международната футболна федерация              bg  out_expansion                                       Иван_Славков
425             ЦСКА                                                    Централен спортен клуб на армията              bg  out_expansion                                       Иван_Славков
426               г.                                                                               година              bg  out_expansion                                       Иван_Славков
427               ч.                                                                                 часа              bg  out_expansion                                       Иван_Славков
428              BBC                                                     British Broadcasting Corporation              en  out_expansion                                       Иван_Славков
429            АЕНОК                                       Асамблеята на националните олимпийски комитети              bg   in_expansion                                       Иван_Славков
430              БОК                                                        Българския олимпийски комитет              bg   in_expansion                                       Иван_Славков
431              БФС                                                             Българския футболен съюз              bg   in_expansion                                       Иван_Славков
432             ВМЕИ                                              Висш машинно-електротехнически институт              bg  out_expansion                                       Иван_Славков
433               ДС                                                                   Държавна сигурност              bg  out_expansion                                       Иван_Славков
434              МОК                                                     Международния олимпийски комитет              bg   in_expansion                                       Иван_Славков
435             ПФК                                                           Професионален футболен клуб              bg  out_expansion                                       Иван_Славков
436            ТАБСО                                     Транспортно-авиационно българо-съветско общество              bg  out_expansion                                       Иван_Славков
437             ФИФА                                                      Международна футболна федерация              bg  out_expansion                                       Иван_Славков
438            ЦСКА                                                     Централен спортен клуб на армията              bg  out_expansion                                       Иван_Славков
439               г.                                                                               година              bg  out_expansion                                       Иван_Славков
440           CD-ROM                                                        Compact Disc Read-Only Memory              en  out_expansion                             Изобразително_изкуство
441              DVD                                                                   Digital Video Disk              en  out_expansion                             Изобразително_изкуство
442              Хр.                                                                               Христа              bg  out_expansion                             Изобразително_изкуство
443               в.                                                                                  век              bg  out_expansion                             Изобразително_изкуство
444               г.                                                                               година              bg  out_expansion                             Изобразително_изкуство
445              др.                                                                                други              bg  out_expansion                             Изобразително_изкуство
446              пр.                                                                                преди              bg  out_expansion                             Изобразително_изкуство
447              3-D                                                                    three-dimensional              en  out_expansion                             Изобразително_изкуство
448           CD-ROM                                                        Compact Disc Read-Only Memory              en  out_expansion                             Изобразително_изкуство
449              DVD                                                                  Digital Video Drive              en  out_expansion                             Изобразително_изкуство
450               в.                                                                                  век              bg  out_expansion                             Изобразително_изкуство
451               г.                                                                              година               bg  out_expansion                             Изобразително_изкуство
452          пр. Хр.                                                                         преди христа              bg  out_expansion                             Изобразително_изкуство
453               AG                                                                   Aktiengesellschaft              en  out_expansion                                   Интегрална_схема
454             ASIC                                              application-specific integrated circuit              en  out_expansion                                   Интегрална_схема
455             CMOS                                              Complementary metal–oxide–semiconductor              en  out_expansion                                   Интегрална_схема
456              DSP                                                              Digital Signal Processo              en   in_expansion                                   Интегрална_схема
457             FPGA                                                       Field Programmable Gate Arrays              en   in_expansion                                   Интегрална_схема
458              RAM                                                                 random-access memory              en  out_expansion                                   Интегрална_схема
459                W                                                                                 Watt              en  out_expansion                                   Интегрална_схема
460               mm                                                                           millimeter              en  out_expansion                                   Интегрална_схема
461               µm                                                                           micrometer              en  out_expansion                                   Интегрална_схема
462              АЦП                                                      Аналогово-цифров преобразувател              bg   in_expansion                                   Интегрална_схема
463               ИС                                                                     Интегрална схема              bg   in_expansion                                   Интегрална_схема
464              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                   Интегрална_схема
465              ЦАП                                                      Цифрово-аналогов преобразувател              bg   in_expansion                                   Интегрална_схема
466               г.                                                                               година              bg  out_expansion                                   Интегрална_схема
467             CMOS                                              Complementary metal–oxide–semiconductor              en  out_expansion                                   Интегрална_схема
468             DSP                                                              Digital Signal Processor              en   in_expansion                                   Интегрална_схема
469               AG                                                                   Aktiengesellschaft              en  out_expansion                                   Интегрална_схема
470             ASIC                                              application-specific integrated circuit              en  out_expansion                                   Интегрална_схема
471             FPGA                                                       Field Programmable Gate Arrays              en   in_expansion                                   Интегрална_схема
472              RAM                                                                 random access memory              en  out_expansion                                   Интегрална_схема
473                W                                                                                 watt              en  out_expansion                                   Интегрална_схема
474               mm                                                                            milimeter              en  out_expansion                                   Интегрална_схема
475               µm                                                                           micrometer              en  out_expansion                                   Интегрална_схема
476              АЦП                                                     Аналогово-цифров преобразувател               bg   in_expansion                                   Интегрална_схема
477               ИС                                                                     Интегрална схема              bg   in_expansion                                   Интегрална_схема
478              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                   Интегрална_схема
479              ЦАП                                                     Цифрово-аналогов преобразувател               bg   in_expansion                                   Интегрална_схема
480              г.                                                                                година              bg  out_expansion                                   Интегрална_схема
481              AGP                                                            Accelerated Graphics Port              en  out_expansion                                              Интел
482              AMD                                                               Advanced Micro Devices  other language   in_expansion                                              Интел
483             DEC                                                         Disasters Emergency Committee              en  out_expansion                                              Интел
484             DRAM                                                         Dynamic random-access memory              en  out_expansion                                              Интел
485           ENIAC                                          Electronic Numerical Integrator And Computer              en  out_expansion                                              Интел
486              FTC                                                         The Federal Trade Commission              en  out_expansion                                              Интел
487              IBM                                          International Business Machines Corporation              en  out_expansion                                              Интел
488             INTC                                                       Intel Corporation Common Stock              en  out_expansion                                              Интел
489              MOS                                                                  metal–oxide–silicon              en  out_expansion                                              Интел
490           MOSFET                                    metal-oxide-semiconductor field-effect transistor              en  out_expansion                                              Интел
491           NASDAQ                      National Association of Securities Dealers Automated Quotations              en  out_expansion                                              Интел
492             NCM                                                Nippon Calculating Machine Corporation              en  out_expansion                                              Интел
493              PC                                                                     Personal Computer              en  out_expansion                                              Интел
494              PCI                                                    Peripheral Component Interconnect              en  out_expansion                                              Интел
495              ROM                                                                     Read-only memory              en  out_expansion                                              Интел
496             SRAM                                                          Static Random Access Memory              en  out_expansion                                              Интел
497              TTL                                                          Transistor–transistor Logic              en  out_expansion                                              Интел
498              USB                                                                 Universal Serial Bus              en  out_expansion                                              Интел
499             САЩ                                                          Съединените Американски Щати              bg  out_expansion                                              Интел
500               г.                                                                               година              bg  out_expansion                                              Интел
501              AGP                                                            accelerated graphics port              en  out_expansion                                              Интел
502              AMD                                                               Advanced Micro Devices              en   in_expansion                                              Интел
503              DEC                                                        Digital Equipment Corporation              en  out_expansion                                              Интел
504             DRAM                                                         dynamic random access memory              en  out_expansion                                              Интел
505            ENIAC                                         Electronic Numerical Integrator and Computer              en  out_expansion                                              Интел
506              FTC                                                        Федералната търговска комисия              bg   in_expansion                                              Интел
507              IBM                                                      International Business Machines              en  out_expansion                                              Интел
508               IN                                                                                                   en  out_expansion                                              Интел
509             INTC                                         International Nonwovens Technical Conference              en  out_expansion                                              Интел
510              MOS                                                            metal oxide semiconductor              en  out_expansion                                              Интел
511           MOSFET                                    metal-oxide-semiconductor field-effect transistor              en  out_expansion                                              Интел
512           NASDAQ                      National Association of Securities Dealers Automated Quotations              en  out_expansion                                              Интел
513              NCM                                               Nippon Calculating Machine Corporation  other language   in_expansion                                              Интел
514               PC                                                                    Personal computer              en  out_expansion                                              Интел
515              PCI                                                    Peripheral Component Interconnect              en  out_expansion                                              Интел
516              ROM                                                                     Read-only memory              en  out_expansion                                              Интел
517             SRAM                                                          Static Random Access Memory              en  out_expansion                                              Интел
518              TTL                                                          transistor-transistor logic              en  out_expansion                                              Интел
519              USB                                                                 Universal Serial Bus              en  out_expansion                                              Интел
520              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                              Интел
